# aritycheck_receiver_baseline.txt
#
# The frozen set of RECEIVER-SHAPE arity disagreements: a declaration of an
# Itanium-mangled MEMBER name (_ZN...) that takes NO parameters at all, against
# a definition of the same symbol that takes at least one. A member's receiver
# rides r0 on ARM like any other first argument, so a body transcribed from the
# ROM takes it as a parameter -- and a caller that spells the declaration
# `(void)` passes nothing, so the callee reads the caller's own return address
# as `this`.
#
# THIS IS THE SHAPE THAT LANDED TWICE ON 2026-08-16, hours before the checker:
#
#   #1539  -extern void _ZN10FaderColor11AdvanceFadeEv(void);
#          +extern void _ZN10FaderColor11AdvanceFadeEv(void*);
#   #1543  -void _ZN12dEnemyBase_cC2Ev(void);   -> _ZN12dEnemyBase_cC2Ev();
#          +void _ZN12dEnemyBase_cC2Ev(void*);  -> _ZN12dEnemyBase_cC2Ev(c);
#
# Both were found by a person reading a fault. Neither is in this file, because
# both are fixed -- which is what makes the file a usable ratchet rather than a
# description of the status quo.
#
# WHAT A ROW IS. `<symbol>|<declaring file>`, never a line number: a key that
# carries a line moves every time somebody adds a comment above it, and a
# baseline that churns is a baseline nobody trusts. Two declarations of one
# symbol in one file collapse to one key, which is the right resolution --
# fixing the file fixes both.
#
# THESE ROWS ARE DEBT AND NOT CLEARANCE. Nobody has adjudicated them one by
# one, and some are certainly parser artefacts: aritycheck reads C and C++ as
# text, and K&R spellings, macro-expanded declarations and in-class definitions
# all confuse it. The ratchet's claim is deliberately narrow and true: THE TREE
# DOES NOT GROW A NEW ONE WITHOUT SOMEBODY SEEING IT. Anyone who works through
# a row and finds it real should fix it and delete the line; anyone who finds
# it a parser artefact should say so beside the line.
#
# The list may only shrink. Generated 2026-08-17 from cons 3a5733c03 (run
# link60, lane AB1) with:
#     python port/tools/aritycheck.py --write-receiver-baseline
# and reviewed only for shape, not row by row.
#
# 168 -> 166, run link60 lane RF1, 2026-08-17. TWO ROWS RETIRED and NEITHER
# was retired by editing a byte-locked src file. Both came off because the
# checker learned something true that it did not know, and both exclusions
# print on every run so neither is silent (see RIDE and NS BINDING in
# port/tools/aritycheck.py).
#
#   func_ov007_020c3d1c|src/func_ov007_020b7764.cpp
#       THE SIXTH LIVE DEFECT of port/abi_checks.txt section 6, and the row
#       this file used to carry a whole paragraph about. It is FIXED, in
#       hal/scene_boot.cpp: the /alternatename that bound
#       ?St_EndingFly_Main@Player@@YAXXZ to the flat Itanium body is deleted
#       and a face stands behind that spelling instead, supplying the receiver
#       out of data_ov007_02103448 -- the same global the ROM's own
#       `ldr r0,[r0]` at 0x020b7778 reads it from. The byte-locked declaration
#       in the src file is untouched and still says `(void)`, which is
#       correct: the free function it now calls really does take nothing.
#       The row retires because no directive binds that spelling to the flat
#       body any more, so the flat body is not what the declaration reaches.
#   func_ov007_020c3d1c|src/func_ov007_020c05f8.c
#       Never a defect at all, and it should not have been in this file. That
#       TU is a `ldr ip,[pc]; bx ip` long-branch veneer, and
#       port/tools/tailjump_guard.py has ASSERTED since 2026-08-16 that MSVC
#       compiles it as a jmp -- which reuses the caller's own cdecl frame, so
#       the argument the veneer never names is exactly where its target reads
#       it. A declared ride cannot drop a receiver. It is Class C row 2 of
#       that guard.
#
# AND TWO ROWS THAT WOULD HAVE APPEARED DID NOT, for the same RIDE reason, so
# they are named here rather than discovered later as a gap:
#   _ZN13HeapAllocator6RemoveEv|src/_ZN13HeapAllocator7DestroyEv.cpp
#   _ZN13HeapAllocator6RemoveEv|src/func_0204ebb8.c
# Those two are the arm9 heap-teardown veneers. Defect 2 of section 6 was
# fixed by giving the flat name a receiver-bridging face in
# hal/lk4_eh_dtor_seat.cpp, which the allocator reaches through those two
# jmps, and lane RF1 added both frames to tailjump_guard's Class C in the same
# change so the ride is asserted at link time instead of assumed. They are in
# the CENSUS (the text does disagree) and out of this subset (nothing is
# dropped). If either frame is ever displaced into a host copy, the guard row
# retires, the exclusion stops matching, and both rows come back here.

_ZN10FaderColorD1Ev|src/__sinit_02073e6c.c
_ZN4dBgW9IsEnabledEv|src/_ZN17BigMovingIceBlock16CleanupResourcesEv.cpp
_ZN4dBgW9IsEnabledEv|src/game/actors/d_a_obj_emm_log.cpp
_ZN7dCcAc_c4InitEP8dActor_c5Fix12IiES3_jj|src/game/actors/d_a_obj_kinoko_tag.cpp
_ZN10dBgW_KcMbgD1Ev|src/_ZN14DorriePlatformD1Ev.cpp
_ZN10dCcAcPos_c4InitEP8dActor_cRK7Vector35Fix12IiES6_jj|port/unmatched/Boo_InitResources.c
_ZN10dCcAcPos_c4InitEP8dActor_cRK7Vector35Fix12IiES6_jj|src/game/actors/daTrs_c/_ZN7daTrs_c13InitResourcesEv.cpp
_ZN4Heap10DeallocateEPv|src/_ZN4Heap11_DeallocateEPv.cpp
_ZN4Heap23SetupSolidHeapAsDefaultEjPS_i|src/_ZN4Heap28InitializeSolidHeapAsDefaultEjPS_i.cpp
_ZN4Heap8AllocateEji|src/_ZN4Heap9_AllocateEji.cpp
_ZN8dActor_c10SpawnCoinsERK7Vector3j5Fix12IiEs|src/actors/Scuttlebug.cpp
_ZN8dActor_c13ClosestPlayerEv|src/game/actors/daTrs_c/_ZN7daTrs_c13InitResourcesEv.cpp
_ZN8dActor_c13ClosestPlayerEv|src/game/actors/d_a_pg_mthr.cpp
_ZN8dActor_c13ClosestPlayerEv|src/func_ov020_02111fc4.cpp
_ZN8dActor_c13ClosestPlayerEv|src/game/actors/d_a_bakubaku.cpp
_ZN8dActor_c13ClosestPlayerEv|src/func_ov060_02111f08.c
_ZN8dActor_c13ClosestPlayerEv|src/actors/Eyerok.cpp
_ZN8dActor_c13ClosestPlayerEv|src/func_ov084_02129cf4.c
_ZN8dActor_c13ClosestPlayerEv|src/actors/daPkn_c.cpp
_ZN8dActor_c13ClosestPlayerEv|src/actors/daMip_c.cpp
_ZN8dActor_c13ClosestPlayerEv|src/func_ov085_0212d9b8.c
_ZN8dActor_c13ClosestPlayerEv|src/func_ov085_0212dd10.cpp
_ZN8dActor_c13ClosestPlayerEv|src/func_ov085_0212e310.cpp
_ZN8dActor_c13ClosestPlayerEv|src/func_ov085_0212e4a4.c
_ZN8dActor_c13ClosestPlayerEv|src/func_ov094_02136024.cpp
_ZN8dActor_c13ClosestPlayerEv|src/func_ov098_0213b9d8.cpp
_ZN8dActor_c13ClosestPlayerEv|src/unnamed/ov063/func_ov063_02117650.c
_ZN8dActor_c22ClosestNonVanishPlayerEv|src/actors/daYurei_Mucho_c.cpp
_ZN8dActor_c22ClosestNonVanishPlayerEv|src/func_ov065_02117888.c
_ZN8dActor_c22ClosestNonVanishPlayerEv|src/game/actors/d_a_krpa.cpp
_ZN8dActor_c22ClosestNonVanishPlayerEv|src/func_ov077_0212390c.cpp
_ZN8dActor_c24KillAndTrackInDeathTableEv|src/_ZN8dActor_c13OnTurnIntoEggER6Player.cpp
_ZN8dActor_c5SpawnEjjRK7Vector3PK10Vector3_16as|port/unmatched/Boo_InitResources.c
_ZN8dActor_c5SpawnEjjRK7Vector3PK10Vector3_16as|src/game/actors/daTrs_c/_ZN7daTrs_c13InitResourcesEv.cpp
_ZN8dActor_c8PoofDustEv|src/game/actors/daBrq_c.cpp
_ZN8dActor_c8PoofDustEv|src/game/actors/d_a_krpa.cpp
_ZN8dActor_c8PoofDustEv|src/actors/Scuttlebug.cpp
_ZN8dActor_c9UpdatePosEP5dCc_c|src/game/actors/daBrq_c.cpp
_ZN8dActor_c9UpdatePosEP5dCc_c|src/game/actors/d_a_krpa.cpp
_ZN8dActor_c9UpdatePosEP5dCc_c|src/func_ov077_02123fcc.c
_ZN5Event6GetBitEj|src/_ZN9TinyWater8BehaviorEv.cpp
_ZN5Event6SetBitEj|src/func_ov089_02131dcc.c
_ZN5Event8ClearBitEj|src/func_ov002_020ba0bc.c
_ZN5Fader13AdvanceInterpEv|include/decl_Fader.h
_ZN5Model12HideMaterialEii|src/func_ov006_020c0e8c.c
_ZN5Model12ShowMaterialEii|src/func_ov006_020c0e8c.c
_ZN5Model6RenderEPK7Vector3|src/func_ov006_020c07a0.c
_ZN5Model8LoadFileER13SharedFilePtr|port/unmatched/Boo_InitResources.c
_ZN5Model8LoadFileER13SharedFilePtr|src/LoadSilverStarAndNumber.c
_ZN5Model8LoadFileER13SharedFilePtr|src/game/actors/d_a_obj_kb1_billboard.cpp
_ZN5Model8LoadFileER13SharedFilePtr|src/game/actors/d_a_obj_kinoko_tag.cpp
_ZN5Model8LoadFileER13SharedFilePtr|src/game/actors/daTrs_c/_ZN7daTrs_c13InitResourcesEv.cpp
_ZN8dScene_c14BeforeBehaviorEv|include/decl_Scene.h
_ZN8dScene_c19ResetFadersAndSoundEv|src/_ZN5Stage19BeforeInitResourcesEv.cpp
_ZN8dScene_c19ResetFadersAndSoundEv|src/_ZN10dScEntry_c19BeforeInitResourcesEv.cpp
_ZN8dScene_c22ResetHardwareRegistersEv|src/InitCrashScreen.c
_ZN8dScene_c22ResetHardwareRegistersEv|src/_ZN8dScene_c20Initialise3dGraphicsEv.cpp
_ZN5Sound15PlaySecretSoundEP8dActor_cPt|src/_ZN9TinyWater8BehaviorEv.cpp
_ZN5Sound8PlayLongEjjjRK7Vector3s|src/_ZN9TinyWater8BehaviorEv.cpp
_ZN5Sound8PlayLongEjjjRK7Vector3s|src/func_ov073_02120844.c
_ZN6Player12GetTalkStateEv|src/actors/daMky_c.cpp
_ZN6Player16IncMegaKillCountEv|port/unmatched/BulletBill_Behavior.cpp
_ZN6Player16IncMegaKillCountEv|src/_ZN10BulletBill8BehaviorEv.cpp
func_ov007_020c3d1c|src/func_ov007_020adbc8.c
func_ov007_020c3d1c|src/func_ov007_020ade14.c
func_ov007_020c3d1c|src/func_ov007_020ca26c.c
_ZN6Player18St_LevelEnter_MainEv|include/decl_Player.h
_ZN6Player29TryExitCharacterDoorWithIntroEv|src/minigames/d_s_mg_trampoline2.cpp
_ZN6Player9GetHealthEv|src/actors/Player.cpp
_ZN6Player9GetHealthEv|src/actors/daBombking_c.cpp
_ZN7ClipperD1Ev|src/__sinit_02074e84.cpp
_ZN7Message6UpdateEv|src/_ZN7Message13DisplaySavingEt.cpp
_ZN7Message6UpdateEv|src/func_0201f138.cpp
_ZN7Message6UpdateEv|src/func_0201f32c.c
_ZN11dCapEnemy_c21DestroyIfCapNotNeededEv|include/decl_CapEnemy.h
_ZN11dCapEnemy_c21DestroyIfCapNotNeededEv|port/unmatched/Boo_InitResources.c
_ZN11dCapEnemy_c21DestroyIfCapNotNeededEv|src/game/actors/daTrs_c/_ZN7daTrs_c13InitResourcesEv.cpp
_ZN11dCapEnemy_c6AddCapEj|include/decl_CapEnemy.h
_ZN11dCapEnemy_c6AddCapEj|port/unmatched/Boo_InitResources.c
_ZN11dCapEnemy_c6AddCapEj|src/game/actors/daTrs_c/_ZN7daTrs_c13InitResourcesEv.cpp
_ZN10dBgActor_c19UpdateClsnPosAndRotEv|src/_ZN9TinyWater8BehaviorEv.cpp
_ZN10dBgActor_c21UpdateModelPosAndRotYEv|src/_ZN9TinyWater8BehaviorEv.cpp
_ZN7fBase_c18MarkForDestructionEv|port/unmatched/Boo_InitResources.c
_ZN7fBase_c18MarkForDestructionEv|src/_ZN9TinyWater8BehaviorEv.cpp
_ZN7fBase_c18MarkForDestructionEv|src/game/actors/daTrs_c/_ZN7daTrs_c13InitResourcesEv.cpp
_ZN7fBase_c18MarkForDestructionEv|src/actors/daMky_c.cpp
_ZN7fBase_c18MarkForDestructionEv|src/game/actors/daBrq_c.cpp
_ZN7fBase_c18MarkForDestructionEv|src/game/actors/d_a_krpa.cpp
_ZN7fBase_c18MarkForDestructionEv|src/actors/Scuttlebug.cpp
_ZN7fBase_c18MarkForDestructionEv|src/_ZN11BabyPenguin13OnTurnIntoEggER6Player.cpp
_ZN7fBase_c18MarkForDestructionEv|src/func_ov089_02131dcc.c
_ZN7fBase_c18MarkForDestructionEv|src/_ZN6Fwoosh13OnTurnIntoEggER6Player.cpp
_ZN7fBase_c18MarkForDestructionEv|src/unnamed/ov063/func_ov063_02116dbc.c
_ZN7fBase_c21AfterCleanupResourcesEj|src/_ZN8dActor_c21AfterCleanupResourcesEj.cpp
_ZN9Animation7AdvanceEv|src/_ZN9TinyWater8BehaviorEv.cpp
_ZN9Animation7AdvanceEv|src/game/actors/daBrq_c.cpp
_ZN9Animation7AdvanceEv|src/game/actors/d_a_krpa.cpp
_ZN9Animation7AdvanceEv|src/func_ov077_02123fcc.c
_ZN9Animation8FinishedEv|src/func_ov006_020c0ce8.c
_ZN9Animation8FinishedEv|src/func_ov006_020c395c.c
_ZN9Animation8FinishedEv|src/func_ov075_021141b8.c
_ZN9Animation8FinishedEv|src/func_ov075_02114218.c
_ZN9Animation8LoadFileER13SharedFilePtr|port/unmatched/Boo_InitResources.c
_ZN9Animation8LoadFileER13SharedFilePtr|src/game/actors/daTrs_c/_ZN7daTrs_c13InitResourcesEv.cpp
_ZN9ModelAnim7SetAnimEP8BCA_Filei5Fix12IiEj|port/unmatched/Boo_InitResources.c
_ZN9ModelAnim7SetAnimEP8BCA_Filei5Fix12IiEj|src/game/actors/daTrs_c/_ZN7daTrs_c13InitResourcesEv.cpp
_ZN9ModelAnim7SetAnimEP8BCA_Filei5Fix12IiEj|src/func_ov062_02116238.c
_ZN9ModelAnim7SetAnimEP8BCA_Filei5Fix12IiEj|src/func_ov062_02116368.c
_ZN9ModelAnim7SetAnimEP8BCA_Filei5Fix12IiEj|src/func_ov065_021178fc.c
_ZN9ModelAnim7SetAnimEP8BCA_Filei5Fix12IiEj|src/game/actors/daBrq_c.cpp
_ZN9ModelAnim7SetAnimEP8BCA_Filei5Fix12IiEj|src/actors/Scuttlebug.cpp
_ZN9ModelAnim7SetAnimEP8BCA_Filei5Fix12IiEj|src/actors/daMip_c.cpp
_ZN9ModelAnim7SetAnimEP8BCA_Filei5Fix12IiEj|src/actors/daMip_c.cpp
_ZN9ModelAnim7SetAnimEP8BCA_Filei5Fix12IiEj|src/func_ov090_02131db0.c
_ZN9ModelAnim7SetAnimEP8BCA_Filei5Fix12IiEj|src/func_ov091_02133f24.c
_ZN9ModelAnim7SetAnimEP8BCA_Filei5Fix12IiEj|src/func_ov094_02135fe0.c
_ZN9ModelBase7SetFileEP8BMD_Fileii|port/unmatched/Boo_InitResources.c
_ZN9ModelBase7SetFileEP8BMD_Fileii|src/game/actors/d_a_obj_kb1_billboard.cpp
_ZN9ModelBase7SetFileEP8BMD_Fileii|src/game/actors/daTrs_c/_ZN7daTrs_c13InitResourcesEv.cpp
_ZN9ModelBase7SetFileEP8BMD_Fileii|src/func_ov006_020c3884.c
_ZN9PowerStar13AddStarMarkerEv|src/func_ov002_020e8dd8.c
_ZNK10dBgCh_Actr10IsOnGroundEv|src/func_ov073_02120844.c
_ZNK10dBgCh_Actr13JustHitGroundEv|src/game/actors/daBrq_c.cpp
_ZNK10dBgCh_Actr13JustHitGroundEv|src/game/actors/d_a_krpa.cpp
_ZNK10dBgCh_Actr13JustHitGroundEv|src/func_ov077_02123fcc.c
_ZNK9Animation12WillHitFrameEi|src/_ZN5Bully13PlayStepSoundEv.cpp
