addr	state	modules	config_names	config_kinds	verified_name	verified_kind	verdict	proposed	note
0x02075f14	CONFIG-PLACEHOLDER	arm9	data_02075f14	data	PARTICLE_ROM_EMBEDDED_FILE	data	placeholder		
0x0207cd74	NO-SLOT	-	-	-	TEX_ROM_EMBEDDED_FILE	data	no-slot		
0x02082128	DIVERGED	arm9	IDENTITY_MATRIX4X3	data	_ZN9Matrix3x38IDENTITYE	data	plain		
0x02082214	CONFIG-PLACEHOLDER	arm9	data_02082214	data	SINE_TABLE	data	placeholder		
0x02082216	NO-SLOT	-	-	-	_ZN4cstd12cosine_tableE	data	no-slot		
0x02087c00	CONFIG-PLACEHOLDER	arm9	data_02087c00	data	BOB_CREDITS_CUTSCENE	data	placeholder		
0x020890a0	CONFIG-PLACEHOLDER	arm9	data_020890a0	data	INTRO_CUTSCENE	data	placeholder		
0x02089608	CONFIG-PLACEHOLDER	arm9	data_02089608	data	FALL_IN_FRONT_OF_CASTLE_CUTSCENE	data	placeholder		
0x0208a178	CONFIG-PLACEHOLDER	arm9	data_0208a178	data	font_2D_ncg_bin	data	placeholder		
0x0208c178	CONFIG-PLACEHOLDER	arm9	data_0208c178	data	font_2D_ncl_bin	data	placeholder		
0x0208c378	CONFIG-PLACEHOLDER	arm9	data_0208c378	data	debug_level_select_arrow_ncg_bin	data	placeholder		
0x0208e434	CONFIG-PLACEHOLDER	arm9	data_0208e434	data	JRB_SOUND_SPECIFICS	data	placeholder		
0x0208e438	CONFIG-PLACEHOLDER	arm9	data_0208e438	data	SOUND_SPECIFICS	data	placeholder		
0x0208ecf4	CONFIG-PLACEHOLDER	arm9	data_0208ecf4	data	ARCHIVE_INFOS	data	placeholder		
0x0208ee3c	CONFIG-PLACEHOLDER	arm9	data_0208ee3c	data	BACKLIGHT_ENABLED	data	placeholder		
0x0208ee44	CONFIG-PLACEHOLDER	arm9	data_0208ee44	data	GAME_SPEED_RELATED	data	placeholder		
0x0208ee64	CONFIG-PLACEHOLDER	arm9	data_0208ee64	data	POWERS_OF_TEN	data	placeholder		
0x0208ee74	CONFIG-PLACEHOLDER	arm9	data_0208ee74	data	DIGIT_ENC_ARR	data	placeholder		
0x0208eeec	CONFIG-PLACEHOLDER	arm9	data_0208eeec	data	MSG_ID_CHAR_MAP	data	placeholder		
0x0208f074	CONFIG-PLACEHOLDER	arm9	data_0208f074	data	TALK_FONT_CHAR_WIDTHS	data	placeholder		
0x0208f9d0	NO-SLOT	-	-	-	_ZN8Particle7Manager7LoadTexEjj	data	no-slot		
0x02090864	DIVERGED	arm9	ACTOR_SPAWN_TABLE	data	_Z6DLLoadi	data	plain		
0x02090900	NO-SLOT	-	-	-	_Z21DLCleanAllUsedByLevelv	data	no-slot		
0x0209098c	NO-SLOT	-	-	-	_Z20DLLoadAllUsedByLevelv	data	no-slot		
0x02090dd0	NO-SLOT	-	-	-	Vec3_Interp	data	no-slot		
0x02092110	CONFIG-PLACEHOLDER	arm9	data_02092110	data	NEXT_LEVEL_ID	data	placeholder		
0x02092114	CONFIG-PLACEHOLDER	arm9	data_02092114	data	NEXT_HAT_CHARACTER	data	placeholder		
0x02092118	CONFIG-PLACEHOLDER	arm9	data_02092118	data	CHECKPOINT_LEVEL_ID	data	placeholder		
0x0209211c	CONFIG-PLACEHOLDER	arm9	data_0209211c	data	RETURN_LEVEL_ID	data	placeholder		
0x02092120	CONFIG-PLACEHOLDER	arm9	data_02092120	data	AREA_ID	data	placeholder		
0x02092124	CONFIG-PLACEHOLDER	arm9	data_02092124	data	LEVEL_OF_LAST_COLLECTED_STAR	data	placeholder		
0x02092128	CONFIG-PLACEHOLDER	arm9	data_02092128	data	NEXT_HAT_CHARACTER_ARR	data	placeholder		
0x0209212c	CONFIG-PLACEHOLDER	arm9	data_0209212c	data	STAR_CAP_MAX_POS_Y	data	placeholder		
0x02092130	CONFIG-PLACEHOLDER	arm9	data_02092130	data	LOADED_LEVEL_OVL_ID	data	placeholder		
0x02092134	CONFIG-PLACEHOLDER	arm9	data_02092134	data	STAR_CAMERA_SETTINGS	data	placeholder		
0x02092138	CONFIG-PLACEHOLDER	arm9	data_02092138	data	STAR_CAP_MIN_POS_Y	data	placeholder		
0x02092144	CONFIG-PLACEHOLDER	arm9	data_02092144	data	HEALTH_ARR	data	placeholder		
0x02092145	NO-SLOT	-	-	-	PLAYER_HEALTH	data	no-slot		
0x020922a4	NO-SLOT	-	-	-	ACTOR_BANK_SETTINGS	data	no-slot		
0x02092778	CONFIG-PLACEHOLDER	arm9	data_02092778	data	DAT_02092778	data	placeholder		
0x020943c4	DIVERGED	arm9,arm9	data_020943c4;_ZTV7dScMB_c	data	_ZTV14MultiBootScene	data	identity		
0x020994e0	CONFIG-PLACEHOLDER	arm9	data_020994e0	data	ATAN_TABLE	data	placeholder		
0x02099e70	CONFIG-PLACEHOLDER	arm9	data_02099e70	data	NEXT_UNIQUE_ACTOR_ID	data	placeholder		
0x02099f24	CONFIG-PLACEHOLDER	arm9	data_02099f24	data	PROCESS_STATE	data	placeholder		
0x02099fd0	CONFIG-PLACEHOLDER	arm9	data_02099fd0	data	RENDER_DMA_CHANNEL	data	placeholder		
0x02099fd4	CONFIG-PLACEHOLDER	arm9	data_02099fd4	data	_ZN3IRQ13DmaTimIndicesE	data	placeholder		
0x02099fe4	CONFIG-PLACEHOLDER	arm9	data_02099fe4	data	_ZN3IRQ12IRQFunctionsE	data	placeholder		
0x0209b138	CONFIG-PLACEHOLDER	arm9	data_0209b138	bss	KS_CAMERA_FUNCTIONS	data	placeholder		
0x0209b270	CONFIG-PLACEHOLDER	arm9	data_0209b270	bss	KS_NUM_PLAYERS	data	placeholder		
0x0209b274	CONFIG-PLACEHOLDER	arm9	data_0209b274	bss	KS_FRAME_COUNTER	data	placeholder		
0x0209b284	CONFIG-PLACEHOLDER	arm9	data_0209b284	bss	KS_PLAYER_IDS	data	placeholder		
0x0209b294	CONFIG-PLACEHOLDER	arm9	data_0209b294	bss	GLOBAL_FADER	data	placeholder		
0x0209b2a4	CONFIG-PLACEHOLDER	arm9	data_0209b2a4	bss	CUTSCENE_OBJECT_IDS	data	placeholder		
0x0209b2f4	CONFIG-PLACEHOLDER	arm9	data_0209b2f4	bss	SELECTED_LINE	data	placeholder		
0x0209b2f8	CONFIG-PLACEHOLDER	arm9	data_0209b2f8	bss	LINE_SCROLL_POSITION	data	placeholder		
0x0209b3ec	CONFIG-PLACEHOLDER	arm9	data_0209b3ec	bss	VIEW_MATRIX_ASR_3	data	placeholder		
0x0209b41c	CONFIG-PLACEHOLDER	arm9	data_0209b41c	bss	INV_VIEW_MATRIX_ASR_3	data	placeholder		
0x0209b454	CONFIG-PLACEHOLDER	arm9	data_0209b454	bss	NEXT_ACTOR_UPDATE_FLAGS	data	placeholder		
0x0209b45c	CONFIG-PLACEHOLDER	arm9	data_0209b45c	bss	ROT_AT_SPAWN	data	placeholder		
0x0209b460	CONFIG-PLACEHOLDER	arm9	data_0209b460	bss	POS_AT_SPAWN	data	placeholder		
0x0209b464	CONFIG-PLACEHOLDER	arm9	data_0209b464	bss	ACTOR_UPDATE_FLAGS	data	placeholder		
0x0209b468	CONFIG-PLACEHOLDER	arm9	data_0209b468	bss	FIRST_ACTOR_LIST_NODE	data	placeholder		
0x0209b490	CONFIG-PLACEHOLDER	arm9	data_0209b490	bss	MUSIC_VOLUME_LSL_12	data	placeholder		
0x0209b49c	CONFIG-PLACEHOLDER	arm9	data_0209b49c	bss	MESSAGE_SOUND_VOLUME_LSL_12	data	placeholder		
0x0209b4a0	CONFIG-PLACEHOLDER	arm9	data_0209b4a0	bss	_ZN5Sound7FileRef5PTR_0E	data	placeholder		
0x0209caa0	CONFIG-PLACEHOLDER	arm9	data_0209caa0	bss	SAVE_DATA	data	placeholder		
0x0209cddc	CONFIG-PLACEHOLDER	arm9	data_0209cddc	bss	SAVED_REGISTER_VALUES	data	placeholder		
0x0209cee8	CONFIG-PLACEHOLDER	arm9	data_0209cee8	bss	_ZN12CylinderClsn4lastE	data	placeholder		
0x0209cef0	CONFIG-PLACEHOLDER	arm9	data_0209cef0	bss	DAT_0209cef0	data	placeholder		
0x0209cef8	CONFIG-PLACEHOLDER	arm9	data_0209cef8	bss	numCommonModelData	data	placeholder		
0x0209cefc	CONFIG-PLACEHOLDER	arm9	data_0209cefc	bss	commonModelDataArr	data	placeholder		
0x0209d3bc	CONFIG-PLACEHOLDER	arm9	data_0209d3bc	bss	LAST_USED_FILE_ID	data	placeholder		
0x0209d454	CONFIG-PLACEHOLDER	arm9	data_0209d454	bss	BOTTOM_SCREEN_RELATED	data	placeholder		
0x0209d45c	CONFIG-PLACEHOLDER	arm9	data_0209d45c	bss	TOP_SCREEN_RELATED	data	placeholder		
0x0209d4a8	CONFIG-PLACEHOLDER	arm9	data_0209d4a8	bss	SCENE_RELATED	data	placeholder		
0x0209d4b0	CONFIG-PLACEHOLDER	arm9	data_0209d4b0	bss	KS_FADER	data	placeholder		
0x0209d4c8	CONFIG-PLACEHOLDER	arm9	data_0209d4c8	bss	TIME_TIMER	data	placeholder		
0x0209d654	CONFIG-PLACEHOLDER	arm9	data_0209d654	bss	IS_SAVING_MESSAGE_DISPLAYED	data	placeholder		
0x0209d660	CONFIG-PLACEHOLDER	arm9	data_0209d660	bss	PLAYER_TALKING	data	placeholder		
0x0209d670	CONFIG-PLACEHOLDER	arm9	data_0209d670	bss	IS_MESSAGE_DISAPPEARING	data	placeholder		
0x0209d67c	CONFIG-PLACEHOLDER	arm9	data_0209d67c	bss	SAVE_MESSAGE_TIMER	data	placeholder		
0x0209d684	CONFIG-PLACEHOLDER	arm9	data_0209d684	bss	MESSAGE_RESULT	data	placeholder		
0x0209d6a8	CONFIG-PLACEHOLDER	arm9	data_0209d6a8	bss	MSG_LINE_HEIGHT	data	placeholder		
0x0209d6d4	CONFIG-PLACEHOLDER	arm9	data_0209d6d4	bss	CURR_MSG_ID	data	placeholder		
0x0209d6f0	CONFIG-PLACEHOLDER	arm9	data_0209d6f0	bss	CURR_MSG_PTR	data	placeholder		
0x0209d6f4	CONFIG-PLACEHOLDER	arm9	data_0209d6f4	bss	CURR_MSG_TEXT_CHAR	data	placeholder		
0x0209d708	CONFIG-PLACEHOLDER	arm9	data_0209d708	bss	MSG_ARR_PTR	data	placeholder		
0x0209d70c	CONFIG-PLACEHOLDER	arm9	data_0209d70c	bss	MSG_FILE_PTR	data	placeholder		
0x0209e650	CONFIG-PLACEHOLDER	arm9	data_0209e650	bss	RNG_STATE	data	placeholder		
0x0209e660	CONFIG-PLACEHOLDER	arm9	data_0209e660	bss	_ZN3OAM14subOAMDisabledE	data	placeholder		
0x0209e664	CONFIG-PLACEHOLDER	arm9	data_0209e664	bss	_ZN3OAM12objCountMainE	data	placeholder		
0x0209e668	CONFIG-PLACEHOLDER	arm9	data_0209e668	bss	_ZN3OAM16curAffineSetMainE	data	placeholder		
0x0209e66c	CONFIG-PLACEHOLDER	arm9	data_0209e66c	bss	_ZN3OAM15curAffineSetSubE	data	placeholder		
0x0209e670	CONFIG-PLACEHOLDER	arm9	data_0209e670	bss	_ZN3OAM11objCountSubE	data	placeholder		
0x0209e674	CONFIG-PLACEHOLDER	arm9	data_0209e674	bss	_ZN3OAM10bufferMainE	data	placeholder		
0x0209e678	NO-SLOT	-	-	-	_ZN3OAM9bufferSubE	data	no-slot		
0x0209ee74	CONFIG-PLACEHOLDER	arm9	data_0209ee74	bss	PARTICLE_SYS_TRACKER	data	placeholder		
0x0209f0d8	NO-SLOT	-	-	-	IMMUNE_TO_DAMAGE	data	no-slot		
0x0209f1d0	NO-SLOT	-	-	-	DAT_0209f1d0	data	no-slot		
0x0209f1d1	NO-SLOT	-	-	-	DAT_0209f1d1	data	no-slot		
0x0209f1ec	CONFIG-PLACEHOLDER	arm9	data_0209f1ec	bss	NEXT_PAUSE_MENU_ID	data	placeholder		
0x0209f1f0	CONFIG-PLACEHOLDER	arm9	data_0209f1f0	bss	NEXT_STAR_ID	data	placeholder		
0x0209f1f4	CONFIG-PLACEHOLDER	arm9	data_0209f1f4	bss	VS_NEW_STAR_SOUND_PLAYED	data	placeholder		
0x0209f1f8	CONFIG-PLACEHOLDER	arm9	data_0209f1f8	bss	NUM_VIEWS	data	placeholder		
0x0209f1fc	CONFIG-PLACEHOLDER	arm9	data_0209f1fc	bss	OPTIONS_MENU_OPENED	data	placeholder		
0x0209f200	CONFIG-PLACEHOLDER	arm9	data_0209f200	bss	RETURN_ENTRANCE_ID	data	placeholder		
0x0209f204	CONFIG-PLACEHOLDER	arm9	data_0209f204	bss	VS_TIME_UP	data	placeholder		
0x0209f208	CONFIG-PLACEHOLDER	arm9	data_0209f208	bss	NUM_VS_STARS_COLLECTED	data	placeholder		
0x0209f20c	CONFIG-PLACEHOLDER	arm9	data_0209f20c	bss	PAUSE_LEVEL_CLEAR_SAVE_MENU_ACTIVE	data	placeholder		
0x0209f210	CONFIG-PLACEHOLDER	arm9	data_0209f210	bss	ARROW_TIMER	data	placeholder		
0x0209f214	CONFIG-PLACEHOLDER	arm9	data_0209f214	bss	NUM_ENTRANCES	data	placeholder		
0x0209f218	CONFIG-PLACEHOLDER	arm9	data_0209f218	bss	PAUSED_WITH_SELECT	data	placeholder		
0x0209f21c	CONFIG-PLACEHOLDER	arm9	data_0209f21c	bss	NUM_PLAYERS	data	placeholder		
0x0209f220	CONFIG-PLACEHOLDER	arm9	data_0209f220	bss	STAR_ID	data	placeholder		
0x0209f224	CONFIG-PLACEHOLDER	arm9	data_0209f224	bss	STAR_OBTAINED_COPY	data	placeholder		
0x0209f228	CONFIG-PLACEHOLDER	arm9	data_0209f228	bss	STAR_OBTAINED	data	placeholder		
0x0209f22c	CONFIG-PLACEHOLDER	arm9	data_0209f22c	bss	PAUSE_MENU_TIMER	data	placeholder		
0x0209f234	CONFIG-PLACEHOLDER	arm9	data_0209f234	bss	SOUND_OPTION	data	placeholder		
0x0209f238	CONFIG-PLACEHOLDER	arm9	data_0209f238	bss	SELECTED_ARROW	data	placeholder		
0x0209f23c	CONFIG-PLACEHOLDER	arm9	data_0209f23c	bss	TIMER_0209f23c	data	placeholder		
0x0209f240	CONFIG-PLACEHOLDER	arm9	data_0209f240	bss	BACK_BUTTON_PRESSED_2	data	placeholder		
0x0209f244	CONFIG-PLACEHOLDER	arm9	data_0209f244	bss	MENU_CHANGE_TIMER	data	placeholder		
0x0209f248	CONFIG-PLACEHOLDER	arm9	data_0209f248	bss	PAUSE_MENU_ID	data	placeholder		
0x0209f24c	CONFIG-PLACEHOLDER	arm9	data_0209f24c	bss	CHECKPOINT_ENTRANCE_ID	data	placeholder		
0x0209f250	CONFIG-PLACEHOLDER	arm9	data_0209f250	bss	CURR_PLAYER_ID	data	placeholder		
0x0209f254	CONFIG-PLACEHOLDER	arm9	data_0209f254	bss	UNK_YOSHI_EGG_RELATED	data	placeholder		
0x0209f258	CONFIG-PLACEHOLDER	arm9	data_0209f258	bss	NUM_FOG_OBJS	data	placeholder		
0x0209f25c	CONFIG-PLACEHOLDER	arm9	data_0209f25c	bss	NUM_MINIMAP_SCALE_OBJS	data	placeholder		
0x0209f260	CONFIG-PLACEHOLDER	arm9	data_0209f260	bss	LEVEL_CLEAR_COIN_COUNT	data	placeholder		
0x0209f264	CONFIG-PLACEHOLDER	arm9	data_0209f264	bss	LAST_ENTRANCE_ID	data	placeholder		
0x0209f268	CONFIG-PLACEHOLDER	arm9	data_0209f268	bss	NEXT_ENTRANCE_ID	data	placeholder		
0x0209f26c	CONFIG-PLACEHOLDER	arm9	data_0209f26c	bss	RETURN_STATE	data	placeholder		
0x0209f270	CONFIG-PLACEHOLDER	arm9	data_0209f270	bss	CHECKPOINT_STAR_ID	data	placeholder		
0x0209f274	CONFIG-PLACEHOLDER	arm9	data_0209f274	bss	CAMERA_SAVED_LOOK_AT_RELATED	data	placeholder		
0x0209f27c	CONFIG-PLACEHOLDER	arm9	data_0209f27c	bss	BUZZER_SOUND_JUST_PLAYED	data	placeholder		
0x0209f280	CONFIG-PLACEHOLDER	arm9	data_0209f280	bss	STOP_MUSIC_DURING_FADE	data	placeholder		
0x0209f284	CONFIG-PLACEHOLDER	arm9	data_0209f284	bss	BOUNCING_MSG_ARROWS_VISIBLE	data	placeholder		
0x0209f288	CONFIG-PLACEHOLDER	arm9	data_0209f288	bss	DISPLAY_RED_COINS_MINIMAP	data	placeholder		
0x0209f290	CONFIG-PLACEHOLDER	arm9	data_0209f290	bss	VS_MODE_EXIT_STATE	data	placeholder		
0x0209f294	CONFIG-PLACEHOLDER	arm9	data_0209f294	bss	GAME_FROZEN	data	placeholder		
0x0209f298	CONFIG-PLACEHOLDER	arm9	data_0209f298	bss	RETURN_TO_REC_ROOM	data	placeholder		
0x0209f29c	CONFIG-PLACEHOLDER	arm9	data_0209f29c	bss	BACK_BUTTON_PRESSED	data	placeholder		
0x0209f2a0	CONFIG-PLACEHOLDER	arm9	data_0209f2a0	bss	PAUSED_DURING_TIMER	data	placeholder		
0x0209f2a4	CONFIG-PLACEHOLDER	arm9	data_0209f2a4	bss	SELECTED_BUTTON_SMALL	data	placeholder		
0x0209f2a8	CONFIG-PLACEHOLDER	arm9	data_0209f2a8	bss	LEVEL_CLEAR_TIMER	data	placeholder		
0x0209f2ac	CONFIG-PLACEHOLDER	arm9	data_0209f2ac	bss	NEW_STAR_COLLECTED	data	placeholder		
0x0209f2b0	CONFIG-PLACEHOLDER	arm9	data_0209f2b0	bss	NEW_COIN_HIGH_SCORE	data	placeholder		
0x0209f2b4	CONFIG-PLACEHOLDER	arm9	data_0209f2b4	bss	NUM_BIG_BUTTONS	data	placeholder		
0x0209f2b8	CONFIG-PLACEHOLDER	arm9	data_0209f2b8	bss	SAVE_MENU_TIMER	data	placeholder		
0x0209f2bc	CONFIG-PLACEHOLDER	arm9	data_0209f2bc	bss	VS_MODE_COUNTDOWN	data	placeholder		
0x0209f2c0	CONFIG-PLACEHOLDER	arm9	data_0209f2c0	bss	LEVEL_SPECIFIC_SETTING	data	placeholder		
0x0209f2c4	CONFIG-PLACEHOLDER	arm9	data_0209f2c4	bss	GAME_PAUSED	data	placeholder		
0x0209f2c8	CONFIG-PLACEHOLDER	arm9	data_0209f2c8	bss	MENU_DISPLAYED_COURSE	data	placeholder		
0x0209f2cc	CONFIG-PLACEHOLDER	arm9	data_0209f2cc	bss	BACKLIGHT_OPTION_TIMER	data	placeholder		
0x0209f2d0	CONFIG-PLACEHOLDER	arm9	data_0209f2d0	bss	NUM_TELEPORT_DEST_OBJS	data	placeholder		
0x0209f2d4	CONFIG-PLACEHOLDER	arm9	data_0209f2d4	bss	LEVEL_CLEAR_SCREEN_STATE	data	placeholder		
0x0209f2d8	CONFIG-PLACEHOLDER	arm9	data_0209f2d8	bss	CURRENT_GAMEMODE	data	placeholder		
0x0209f2dc	CONFIG-PLACEHOLDER	arm9	data_0209f2dc	bss	SELECTED_CONTROLLER_MODE	data	placeholder		
0x0209f2e0	CONFIG-PLACEHOLDER	arm9	data_0209f2e0	bss	SELECTED_BUTTON	data	placeholder		
0x0209f2e4	CONFIG-PLACEHOLDER	arm9	data_0209f2e4	bss	SOUND_MODE_TIMER	data	placeholder		
0x0209f2e8	CONFIG-PLACEHOLDER	arm9	data_0209f2e8	bss	MAP_TILE_ARR_SIZE	data	placeholder		
0x0209f2ec	CONFIG-PLACEHOLDER	arm9	data_0209f2ec	bss	BACKLIGHT_OFF	data	placeholder		
0x0209f2f0	CONFIG-PLACEHOLDER	arm9	data_0209f2f0	bss	COURSE_ARROW_BUTTONS_INVISIBLE	data	placeholder		
0x0209f2f4	CONFIG-PLACEHOLDER	arm9	data_0209f2f4	bss	NUM_LIVES	data	placeholder		
0x0209f2f8	CONFIG-PLACEHOLDER	arm9	data_0209f2f8	bss	LEVEL_ID	data	placeholder		
0x0209f2fc	CONFIG-PLACEHOLDER	arm9	data_0209f2fc	bss	PREV_RETURN_STATE	data	placeholder		
0x0209f300	CONFIG-PLACEHOLDER	arm9	data_0209f300	bss	STAGE_TIMER	data	placeholder		
0x0209f304	CONFIG-PLACEHOLDER	arm9	data_0209f304	bss	VS_MODE_COUNTDOWN_TIMER	data	placeholder		
0x0209f308	CONFIG-PLACEHOLDER	arm9	data_0209f308	bss	VS_NEW_STAR_TIMER	data	placeholder		
0x0209f30c	CONFIG-PLACEHOLDER	arm9	data_0209f30c	bss	NUM_RED_COINS	data	placeholder		
0x0209f310	CONFIG-PLACEHOLDER	arm9	data_0209f310	bss	NUM_VS_STARS_OBTAINED_PLAYER	data	placeholder		
0x0209f314	CONFIG-PLACEHOLDER	arm9	data_0209f314	bss	AREAS	data	placeholder		
0x0209f318	CONFIG-PLACEHOLDER	arm9	data_0209f318	bss	CAMERA	data	placeholder		
0x0209f31c	CONFIG-PLACEHOLDER	arm9	data_0209f31c	bss	FOG_OBJS_PTR	data	placeholder		
0x0209f320	CONFIG-PLACEHOLDER	arm9	data_0209f320	bss	LEVEL_MODEL_DATA	data	placeholder		
0x0209f324	CONFIG-PLACEHOLDER	arm9	data_0209f324	bss	WIPES	data	placeholder		
0x0209f328	CONFIG-PLACEHOLDER	arm9	data_0209f328	bss	ENTRANCE_ARR_PTR	data	placeholder		
0x0209f32c	CONFIG-PLACEHOLDER	arm9	data_0209f32c	bss	WATER_HEIGHT	data	placeholder		
0x0209f330	CONFIG-PLACEHOLDER	arm9	data_0209f330	bss	TELEPORT_DEST_OBJS_PTR	data	placeholder		
0x0209f334	CONFIG-PLACEHOLDER	arm9	data_0209f334	bss	MAP_TILE_ARR_PTR	data	placeholder		
0x0209f338	CONFIG-PLACEHOLDER	arm9	data_0209f338	bss	UNUSED_TYPE_13_OBJS_PTR	data	placeholder		
0x0209f33c	CONFIG-PLACEHOLDER	arm9	data_0209f33c	bss	CASTLE_KEY_RABBIT	data	placeholder		
0x0209f340	CONFIG-PLACEHOLDER	arm9	data_0209f340	bss	LEVEL_FILE	data	placeholder		
0x0209f344	CONFIG-PLACEHOLDER	arm9	data_0209f344	bss	VS_STAR_SPAWN_ORDER	data	placeholder		
0x0209f348	CONFIG-PLACEHOLDER	arm9	data_0209f348	bss	MINIMAP_SCALE_OBJS_PTR	data	placeholder		
0x0209f34c	CONFIG-PLACEHOLDER	arm9	data_0209f34c	bss	EVENT_FIELD	data	placeholder		
0x0209f350	CONFIG-PLACEHOLDER	arm9	data_0209f350	bss	CAMERA_PRESS_STATE	data	placeholder		
0x0209f354	CONFIG-PLACEHOLDER	arm9	data_0209f354	bss	VIEW_ARR_PTR	data	placeholder		
0x0209f358	CONFIG-PLACEHOLDER	arm9	data_0209f358	bss	NUM_COINS	data	placeholder		
0x0209f360	CONFIG-PLACEHOLDER	arm9	data_0209f360	bss	BG1_BUTTON_TILE_OFFSETS	data	placeholder		
0x0209f368	CONFIG-PLACEHOLDER	arm9	data_0209f368	bss	CAMERA_INPUT_ARR	data	placeholder		
0x0209f37c	CONFIG-PLACEHOLDER	arm9	data_0209f37c	bss	STAR_MARKER_TYPES	data	placeholder		
0x0209f394	CONFIG-PLACEHOLDER	arm9	data_0209f394	bss	PLAYER_ARR	data	placeholder		
0x0209f3a4	CONFIG-PLACEHOLDER	arm9	data_0209f3a4	bss	BOWSER_SPIKE_BOMBS	data	placeholder		
0x0209f3c4	CONFIG-PLACEHOLDER	arm9	data_0209f3c4	bss	STAGE_SCENE_RELATED	data	placeholder		
0x0209f40c	KIND-MISMATCH	arm9,arm9	data_0209f40c;STAR_MARKERS	bss	STAR_MARKERS	data	kind		config kind bss
0x0209f43c	CONFIG-PLACEHOLDER	arm9	data_0209f43c	bss	GLOBAL_CLIPPER	data	placeholder		
